,Unnamed: 0,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,ΔValue
4048,4048,M,2022-04-20 16:35:04,2022-04-19,ADVM,"Adverum Biotechnologies, Inc.",Soparkar Peter,See Remarks section,Purchase,$1.14,"+21,925.00","280,556.00",8.48%,"+$24,994.03"
4309,4309,None,2022-04-11 08:00:15,2022-04-08,AEI,Alset EHome International Inc.,Chan Heng Fai Ambrose,"Dir,Chief Executive Officer10%",Purchase,$0.83,"+135,000.00","37,366,633.00",0.36%,"+$111,550.50"
4359,4359,M,2022-04-08 09:24:11,2022-04-07,AEI,Alset EHome International Inc.,Chan Heng Fai Ambrose,"Dir,Chief Executive Officer10%",Purchase,$0.75,"+4,377,792.00","37,231,633.00",13.33%,"+$3,281,015.98"
4401,4401,M,2022-04-07 16:15:14,2022-04-05,AEI,Alset EHome International Inc.,Chan Heng Fai Ambrose,"Dir,Chief Executive Officer10%",Purchase,$0.57,"+1,204,542.00","32,853,841.00",3.81%,"+$681,056.89"
4489,4489,M,2022-04-05 16:17:16,2022-04-01,AEI,Alset EHome International Inc.,Chan Heng Fai Ambrose,"Dir,Chief Executive Officer10%",Purchase,$0.53,"+2,900,000.00","31,649,299.00",10.09%,"+$1,549,130.00"
6169,6169,None,2022-03-03 14:01:49,2022-03-03,ICAD,ICAD INC,Irish Timothy Norris,Dir,Purchase,$4.63,"+5,500.00","5,500.00",0%,"+$25,465.00"
8270,8270,None,2022-01-05 15:18:14,2022-01-05,ICAD,ICAD INC,Stevens Stacey M,President,Purchase,$6.17,"+17,006.00","154,627.00",12.36%,"+$104,927.02"
8885,8885,M,2021-12-20 19:35:48,2021-12-16,CLRD,"Clearday, Inc.",Walesa James,"Dir,Chief Executive Officer10%",Purchase,$3.02,"+4,121.00","1,119,984.00",0.37%,"+$12,452.23"
9092,9092,None,2021-12-16 17:00:10,2021-12-16,ATNF,180 Life Sciences Corp.,Vu Quan Anh,COO,Chief Business Officer,Purchase,$3.98,"+8,000.00","20,500.00",64%
9055,9055,M,2021-12-16 18:59:27,2021-12-15,LAZY,"Lazydays Holdings, Inc.","Coliseum Capital Management, LLC","Dir,10%",Purchase,$20.35,"+87,184.00","1,171,782.00",8.04%,"+$1,774,008.66"
9084,9084,M,2021-12-16 19:48:02,2021-12-14,CLRD,"Clearday, Inc.",Walesa James,"Dir,Chief Executive Officer10%",Purchase,$3.09,"+4,000.00","1,115,863.00",0.36%,"+$12,346.00"
9182,9182,None,2021-12-15 16:45:29,2021-12-14,AZYO,"AZIYO BIOLOGICS, INC.",Englese Thomas,CHIEF COMMERCIAL OFFICER,Purchase,$6.10,"+4,580.00","5,088.00",901.57%,"+$27,938.00"
9289,9289,M,2021-12-14 19:09:15,2021-12-10,CLRD,"Clearday, Inc.",Walesa James,"Dir,Chief Executive Officer10%",Purchase,$3.06,"+4,000.00","1,111,863.00",0.36%,"+$12,237.80"
9399,9399,None,2021-12-13 08:31:58,2021-12-10,ATNF,180 Life Sciences Corp.,Pamir Ozan,Interim CFO,Purchase,$3.87,"+3,800.00","76,408.00",5.23%,"+$14,706.00"
9488,9488,None,2021-12-10 18:39:32,2021-12-10,ATNF,180 Life Sciences Corp.,Marrone Pamela G,Dir,Purchase,$4.10,"+1,000.00","1,000.00",0%,"+$4,100.00"
9497,9497,None,2021-12-10 18:04:31,2021-12-10,ATNF,180 Life Sciences Corp.,Vu Quan Anh,COO,Chief Business Officer,Purchase,$3.90,"+4,500.00","12,500.00",56.25%
9156,9156,None,2021-12-15 19:34:14,2021-12-09,CCLP,CSI Compressco LP,Gill Stephen R.,Dir,Purchase,$1.20,"+98,100.00","200,612.00",95.7%,"+$117,690.57"
9398,9398,M,2021-12-13 08:35:21,2021-12-09,ATNF,180 Life Sciences Corp.,DeLuca Teresa,Dir,Purchase,$3.98,"+12,500.00","12,500.00",0%,"+$49,800.00"
9442,9442,None,2021-12-10 08:22:39,2021-12-09,ATNF,180 Life Sciences Corp.,STEINMAN LAWRENCE,Dir,Purchase,$4.27,"+5,000.00","602,574.00",0.84%,"+$21,350.00"
9452,9452,None,2021-12-10 06:15:20,2021-12-09,ICAD,ICAD INC,DALTON NATHANIEL,Dir,Purchase,$7.24,"+6,900.00","183,947.00",3.9%,"+$49,956.00"
9486,9486,None,2021-12-10 08:24:31,2021-12-09,ATNF,180 Life Sciences Corp.,Woody James N.,"Dir,Chief Executive Officer",Purchase,$4.27,"+12,500.00","37,752.00",49.5%,"+$53,375.00"
9566,9566,None,2021-12-09 21:58:55,2021-12-09,ATNF,180 Life Sciences Corp.,McGovern Jr. Donald A.,Dir,Purchase,$4.13,"+25,000.00","32,628.00",327.74%,"+$103,250.00"
9192,9192,None,2021-12-15 16:06:19,2021-12-08,ICAD,ICAD INC,Carter Charles Ross,CHIEF FINANCIAL OFFICER,Purchase,$7.05,"+7,000.00","7,000.00",0%,"+$49,350.00"
9400,9400,M,2021-12-13 16:18:55,2021-12-08,ATNF,180 Life Sciences Corp.,Feldmann Marc,Dir,"Grant,Purchase",$4.06,"+55,536.00","2,809,930.00",2.02%,"+$225,367.20"
9421,9421,None,2021-12-10 16:07:00,2021-12-08,WTFC,WINTRUST FINANCIAL CORP,WASHINGTON ALEX E III,Dir,Purchase,$89.61,"+4,500.00","9,002.00",99.96%,"+$403,245.00"
9425,9425,None,2021-12-10 09:57:35,2021-12-08,KMI,"KINDER MORGAN, INC.",VAGT ROBERT F,Dir,Purchase,$16.34,"+6,000.00","41,769.00",16.77%,"+$98,016.00"
9436,9436,None,2021-12-10 17:03:59,2021-12-08,CLBS,"CALADRIUS BIOSCIENCES, INC.",MYERS STEVEN S,Dir,Purchase,$0.89,"+33,785.00","158,029.00",27.19%,"+$30,190.28"
9451,9451,M,2021-12-10 16:22:31,2021-12-08,AZYO,"AZIYO BIOLOGICS, INC.","HighCape Capital, L.P.","Dir,10%",Purchase,$4.24,"+412,735.00","4,953,411.00",9.09%,"+$1,749,996.40"
9457,9457,None,2021-12-10 14:04:13,2021-12-08,KMI,"KINDER MORGAN, INC.",HULTQUIST GARY,Dir,Purchase,$16.27,"+13,000.00","29,233.00",80.08%,"+$211,497.00"
9458,9458,M,2021-12-10 16:28:50,2021-12-08,BOXD,"Boxed, Inc.",MATTHEWS GARY S,"Dir,Chairman of the Board","Purchase,Sale",$2.44,"-82,075.00","5,222,300.00",-1.55%,"+$200,000.00"
9459,9459,None,2021-12-10 09:57:15,2021-12-08,KMI,"KINDER MORGAN, INC.",MACDONALD DEBORAH,Dir,Purchase,$16.24,"+10,000.00","48,628.00",25.89%,"+$162,400.00"
9462,9462,None,2021-12-10 16:05:23,2021-12-08,AEI,Alset EHome International Inc.,Chan Heng Fai Ambrose,"Dir,Chief Executive Officer10%",Purchase,$0.60,"+7,333,333.00","25,527,647.00",40.31%,"+$4,399,999.80"
9469,9469,M,2021-12-10 18:40:53,2021-12-08,LAZY,"Lazydays Holdings, Inc.","Coliseum Capital Management, LLC","Dir,10%",Purchase,$19.67,"+278,988.00","1,084,598.00",34.63%,"+$5,487,063.10"
9472,9472,M,2021-12-10 17:26:36,2021-12-08,ADVM,"Adverum Biotechnologies, Inc.",Fischer Laurent,"Dir,CEO, President and Director",Purchase,$1.82,"+25,000.00","737,462.00",3.51%,"+$45,609.38"
9477,9477,None,2021-12-10 19:43:34,2021-12-08,CCLP,CSI Compressco LP,Gill Stephen R.,Dir,Purchase,$1.20,"+1,900.00","102,512.00",1.89%,"+$2,280.00"
9479,9479,None,2021-12-10 17:26:01,2021-12-08,ADVM,"Adverum Biotechnologies, Inc.",Soparkar Peter,See Remarks section,Purchase,$1.91,"+25,000.00","258,631.00",10.7%,"+$47,750.00"
9499,9499,None,2021-12-10 17:30:24,2021-12-08,ACET,"Adicet Bio, Inc.",Sinclair Andrew,Dir,Purchase,$14.00,"+500,000.00","2,140,721.00",30.47%,"+$7,000,000.00"
9506,9506,None,2021-12-10 16:26:48,2021-12-08,BOXD,"Boxed, Inc.",Pearson Andrew C.,Dir,Purchase,$10.00,"+20,000.00","20,000.00",0%,"+$200,000.00"
9554,9554,None,2021-12-09 08:23:25,2021-12-08,ICAD,ICAD INC,Klein Michael S,"Dir,CHIEF EXECUTIVE OFFICER",Purchase,$7.38,"+13,475.00","39,807.00",51.17%,"+$99,445.50"
9562,9562,M,2021-12-09 19:20:35,2021-12-08,CLRD,"Clearday, Inc.",Walesa James,"Dir,Chief Executive Officer10%",Purchase,$3.01,"+4,000.00","1,107,863.00",0.36%,"+$12,027.02"
9568,9568,None,2021-12-09 08:29:42,2021-12-08,ICAD,ICAD INC,Wood Susan Alyson,Dir,Purchase,$7.31,"+1,500.00","4,134.00",56.95%,"+$10,965.00"
9575,9575,None,2021-12-09 18:26:46,2021-12-08,BCO,BRINKS CO,Tynan Timothy Joseph,Dir,Purchase,$63.47,"+1,500.00","1,500.00",0%,"+$95,205.00"
9578,9578,None,2021-12-08 20:56:35,2021-12-08,ZLAB,Zai Lab Ltd,WIRTH PETER,Dir,Purchase,$71.36,"+4,000.00","342,852.00",1.18%,"+$285,440.00"
9603,9603,None,2021-12-08 16:30:56,2021-12-08,PVH,PVH CORP.,NASELLA HENRY,Dir,Purchase,$104.15,+960.00,"44,086.00",2.23%,"+$99,984.00"
1287,1287,None,2022-06-01 18:01:14,2022-06-01,LMB,"Limbach Holdings, Inc.",Horowitz Joshua,"Dir,other",Purchase,$5.93,"+6,315.00","271,767.00",2.38%,"+$37,421.43"
1381,1381,None,2022-05-31 16:33:37,2022-05-27,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Dir,President and CEO",Purchase,$5.70,"+4,384.00","444,659.00",1%,"+$24,988.80"
1424,1424,None,2022-05-27 17:31:07,2022-05-26,DRRX,DURECT CORP,Robertson Judith J.,Dir,Purchase,$0.39,"+65,000.00","265,000.00",32.5%,"+$25,597.00"
1526,1526,None,2022-05-26 16:32:55,2022-05-24,LMB,"Limbach Holdings, Inc.",ALVARADO LINDA G,Dir,Purchase,$5.69,"+7,000.00","8,473.00",475.22%,"+$39,830.00"
1628,1628,M,2022-05-25 20:03:03,2022-05-24,DRRX,DURECT CORP,AZAB MOHAMMAD,Dir,Purchase,$0.39,"+30,000.00","60,000.00",100%,"+$11,638.00"
1706,1706,M,2022-05-25 16:36:07,2022-05-23,LMB,"Limbach Holdings, Inc.",Horowitz Joshua,Dir,Purchase,$5.78,"+3,000.00","265,452.00",1.14%,"+$17,340.00"
1844,1844,None,2022-05-24 14:43:46,2022-05-23,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Mazarakis John,"Dir,Exec. Chairman of the Board",Purchase,$15.50,"+7,000.00","211,778.00",3.42%,"+$108,500.00"
2261,2261,None,2022-05-19 16:45:42,2022-05-18,LMB,"Limbach Holdings, Inc.",McCann Michael M,Chief Operating Officer,Purchase,$6.10,"+1,900.00","68,733.00",2.84%,"+$11,595.32"
2318,2318,M,2022-05-18 20:05:08,2022-05-16,DRRX,DURECT CORP,AZAB MOHAMMAD,Dir,Purchase,$0.41,"+30,000.00","30,000.00",0%,"+$12,173.51"
2319,2319,M,2022-05-18 20:35:30,2022-05-16,DRRX,DURECT CORP,Farfel Gail M,Dir,Purchase,$0.40,"+55,211.00","100,000.00",123.27%,"+$22,012.04"
2413,2413,M,2022-05-18 16:15:41,2022-05-16,LMB,"Limbach Holdings, Inc.",McCann Michael M,Chief Operating Officer,Purchase,$6.04,"+1,888.00","66,833.00",2.91%,"+$11,403.51"
2828,2828,M,2022-05-13 21:07:36,2022-05-11,DRRX,DURECT CORP,Farfel Gail M,Dir,Purchase,$0.40,"+20,700.00","44,789.00",85.93%,"+$8,258.03"
2951,2951,None,2022-05-12 20:32:13,2022-05-10,DRRX,DURECT CORP,Farfel Gail M,Dir,Purchase,$0.41,"+2,339.00","24,089.00",10.75%,+$949.63
3191,3191,M,2022-05-10 21:12:07,2022-05-09,DRRX,DURECT CORP,Farfel Gail M,Dir,Purchase,$0.39,"+21,750.00","21,750.00",0%,"+$8,584.25"
3774,3774,M,2022-04-29 12:00:13,2022-04-28,SBSI,SOUTHSIDE BANCSHARES INC,THEDFORD DONALD W,Dir,"Purchase,Gift",$39.58,0.00,"14,361.00",0%,"+$3,958.00"
3860,3860,M,2022-04-27 20:57:45,2022-04-22,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Papastavrou Jason D,Dir,Purchase,$17.95,"+15,000.00","24,688.00",154.83%,"+$269,178.65"
4566,4566,None,2022-04-04 12:10:24,2022-03-31,LMB,"Limbach Holdings, Inc.",McCann Michael M,Chief Operating Officer,Purchase,$7.16,"+1,545.00","64,945.00",2.44%,"+$11,068.23"
4713,4713,None,2022-03-30 14:44:36,2022-03-29,LMB,"Limbach Holdings, Inc.",Young Norbert W.,Dir,Purchase,$7.02,"+1,000.00","24,699.00",4.22%,"+$7,020.00"
4702,4702,None,2022-03-30 14:48:21,2022-03-28,LMB,"Limbach Holdings, Inc.",Brooks Jayme L.,EVP & Chief Financial Officer,Purchase,$6.89,"+2,170.00","53,197.00",4.25%,"+$14,951.30"
4751,4751,None,2022-03-29 14:05:47,2022-03-28,LMB,"Limbach Holdings, Inc.",Krzeminski Laurel J,Dir,Purchase,$6.81,"+3,500.00","14,599.00",31.53%,"+$23,847.95"
4810,4810,None,2022-03-28 16:09:34,2022-03-24,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Dir,President and CEO",Purchase,$6.85,"+3,570.00","440,275.00",0.82%,"+$24,454.50"
4896,4896,M,2022-03-24 16:15:59,2022-03-22,LMB,"Limbach Holdings, Inc.",Horowitz Joshua,Dir,Purchase,$6.84,"+10,003.00","262,452.00",3.96%,"+$68,437.28"
5175,5175,M,2022-03-17 17:00:34,2022-03-15,DOCU,"DOCUSIGN, INC.",Springer Daniel D.,"Dir,President and CEO",Purchase,$74.76,"+66,882.00","139,825.00",91.69%,"+$4,999,792.37"
5244,5244,None,2022-03-16 13:41:11,2022-03-14,DRRX,DURECT CORP,Robertson Judith J.,Dir,Purchase,$0.59,"+200,000.00","200,000.00",0%,"+$118,000.00"
8332,8332,M,2022-01-04 17:56:01,2021-12-31,LMB,"Limbach Holdings, Inc.",ALVARADO LINDA G,Dir,"Purchase,OptionEx",$6.74,"+1,473.00","1,473.00",0%,"+$9,927.49"
8153,8153,M,2022-01-10 21:28:23,2021-12-29,DOCU,"DOCUSIGN, INC.",Springer Daniel D.,"Dir,President and CEO","Gift,Purchase,Grant",$147.94,"+33,797.00","1,668,123.00",1.99%,"+$4,999,988.22"
9083,9083,M,2021-12-16 17:34:06,2021-12-14,LMB,"Limbach Holdings, Inc.",Horowitz Joshua,Dir,Purchase,$7.27,"+11,106.00","250,316.00",4.64%,"+$80,712.25"
9515,9515,M,2021-12-10 10:12:04,2021-12-09,SBSI,SOUTHSIDE BANCSHARES INC,BUIE HERBERT C,Dir,"Gift,Purchase",$0.00,0.00,"674,928.00",0%,"+$21,287.40"
9463,9463,M,2021-12-10 20:36:28,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",HERBST FREDERICK C,Dir,"Purchase,Grant",$8.26,"+9,688.00","9,688.00",0%,"+$80,000.00"
9466,9466,M,2021-12-10 20:42:06,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Papastavrou Jason D,Dir,"Purchase,Grant",$8.26,"+9,688.00","9,688.00",0%,"+$80,000.00"
9493,9493,None,2021-12-10 16:03:37,2021-12-08,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Dir,President and CEO",Purchase,$7.65,"+3,246.00","433,416.00",0.75%,"+$24,837.74"
9507,9507,M,2021-12-10 20:50:47,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Mazarakis John,"Dir,Exec. Chairman of the Board",Purchase,$16.00,"+161,250.00","204,778.00",370.45%,"+$2,580,000.00"
9508,9508,M,2021-12-10 20:39:04,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Konigsberg Brandon,Dir,"Purchase,Grant",$2.81,"+5,688.00","5,688.00",0%,"+$16,000.00"
9509,9509,M,2021-12-10 20:40:18,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Menze Lindsay,Chief Financial Officer,"Purchase,Grant",$0.50,"+9,675.00","9,975.00",3225%,"+$4,800.00"
9510,9510,M,2021-12-10 20:43:45,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Sack Peter,"Dir,Co-President","Purchase,Grant",$1.40,"+3,425.00","3,425.00",0%,"+$4,800.00"
9511,9511,M,2021-12-10 20:44:56,2021-12-08,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Steiner Michael L.,Dir,"Purchase,Grant",$8.26,"+9,688.00","189,267.00",5.39%,"+$80,000.00"
9604,9604,M,2021-12-08 16:21:58,2021-12-08,DOCU,"DOCUSIGN, INC.",Springer Daniel D.,"Dir,President and CEO",Purchase,$141.26,"+1,076.00","34,751.00",3.2%,"+$151,992.80"
6469,6469,M,2022-02-25 20:30:20,2021-12-07,RUN,Sunrun Inc.,Dach Leslie A,Dir,Purchase,$42.15,+437.00,"68,263.00",0.64%,"+$18,419.30"
7129,7129,M,2022-02-09 15:21:37,2021-12-07,ARCB,ARCBEST CORP,Hogan Michael P,Dir,"Gift,Purchase",$194.72,+771.00,"22,271.00",3.35%,"+$150,127.67"
9505,9505,None,2021-12-10 20:48:05,2021-12-07,REFI,"Chicago Atlantic Real Estate Finance, Inc.","Chicago Atlantic Fund QP, LLC",10%,Purchase,$16.00,"+918,750.00","6,611,997.00",16.14%,"+$14,700,000.00"
9512,9512,M,2021-12-10 20:45:54,2021-12-07,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Bodmeier Andreas,"Dir,Co-President and CIO",Purchase,$16.00,"+157,250.00","177,044.00",794.43%,"+$2,516,000.00"
9513,9513,None,2021-12-10 20:46:53,2021-12-07,REFI,"Chicago Atlantic Real Estate Finance, Inc.",Cappell Anthony,"Dir,Chief Executive Officer",Purchase,$16.00,"+156,250.00","169,617.00",1168.92%,"+$2,500,000.00"
9514,9514,None,2021-12-10 20:49:10,2021-12-07,REFI,"Chicago Atlantic Real Estate Finance, Inc.","Chicago Atlantic CRE Holdings, LLC",10%,Purchase,$16.00,"+175,000.00","4,125,298.00",4.43%,"+$2,800,000.00"
9529,9529,None,2021-12-09 13:35:14,2021-12-07,DRRX,DURECT CORP,BENITO SIMON X,Dir,Purchase,$1.02,"+20,000.00","105,000.00",23.53%,"+$20,360.00"
9552,9552,None,2021-12-09 16:08:34,2021-12-07,LMB,"Limbach Holdings, Inc.",Krzeminski Laurel J,Dir,Purchase,$7.60,"+1,500.00","7,899.00",23.44%,"+$11,399.70"
9558,9558,None,2021-12-09 16:46:48,2021-12-07,BIVI,BIOVIE INC.,KIM JOANNE WENDY,CFO,Purchase,$5.40,"+2,000.00","2,000.00",0%,"+$10,798.00"
9560,9560,M,2021-12-09 17:53:18,2021-12-07,LMB,"Limbach Holdings, Inc.",Horowitz Joshua,"Dir,other",Purchase,$7.79,"+37,522.00","239,210.00",18.6%,"+$292,215.36"
9561,9561,None,2021-12-09 14:03:06,2021-12-07,VBF,Invesco Bond Fund,Brill Matthew,other,Purchase,$20.05,"+4,081.00","5,581.00",272.07%,"+$81,824.05"
9606,9606,None,2021-12-08 15:47:19,2021-12-07,HNST,"Honest Company, Inc.",WHITE JAMES D,Dir,Purchase,$8.54,"+2,200.00","36,515.00",6.41%,"+$18,799.00"
9672,9672,None,2021-12-07 17:00:31,2021-12-07,SBSI,SOUTHSIDE BANCSHARES INC,SHEEHY WILLIAM,Dir,Purchase,$42.25,+264.00,"155,939.00",0.17%,"+$11,154.00"
9677,9677,M,2021-12-07 20:48:01,2021-12-07,DOCU,"DOCUSIGN, INC.",Springer Daniel D.,"Dir,President and CEO",Purchase,$143.95,"+33,675.00","33,675.00",0%,"+$4,847,368.07"
39,39,M,2022-06-27 08:23:15,2022-06-24,IDN,"Intellicheck, Inc.",Ishmael Jeffrey,CFO,Purchase,$1.91,"+4,000.00","60,013.00",7.14%,"+$7,645.00"
121,121,M,2022-06-23 16:56:09,2022-06-22,IDN,"Intellicheck, Inc.",Ishmael Jeffrey,CFO,Purchase,$1.77,"+20,013.00","56,013.00",55.59%,"+$35,382.02"
151,151,None,2022-06-22 11:42:35,2022-06-21,HRZN,Horizon Technology Finance Corp,Pomeroy Robert D. Jr.,"Dir,CHIEF EXECUTIVE OFFICER",Purchase,$11.30,"+4,000.00","169,921.00",2.41%,"+$45,200.00"
185,185,M,2022-06-21 17:03:15,2022-06-21,IDN,"Intellicheck, Inc.",Ishmael Jeffrey,CFO,Purchase,$1.73,"+5,800.00","36,000.00",19.21%,"+$10,024.00"
186,186,None,2022-06-21 17:04:24,2022-06-21,IDN,"Intellicheck, Inc.",Lewis Bryan,"Dir,CEO",Purchase,$1.71,"+1,250.00","263,216.00",0.48%,"+$2,137.50"
182,182,M,2022-06-21 09:15:22,2022-06-16,IDN,"Intellicheck, Inc.",Lewis Bryan,"Dir,CEO",Purchase,$1.70,"+28,180.00","261,966.00",12.05%,"+$47,853.82"
183,183,M,2022-06-21 09:15:29,2022-06-16,IDN,"Intellicheck, Inc.",Ishmael Jeffrey,CFO,Purchase,$1.71,"+30,200.00","30,200.00",0%,"+$51,727.00"
184,184,M,2022-06-21 16:05:35,2022-06-16,IDN,"Intellicheck, Inc.",Smith Guy L,Dir,Purchase,$1.71,"+4,000.00","248,492.00",1.64%,"+$6,858.00"
598,598,None,2022-06-14 15:57:57,2022-06-13,DAKT,DAKTRONICS INC,Kurtenbach Reece A,"Dir,Chairman, President and CEO",Purchase,$2.99,"+15,000.00","437,043.00",3.55%,"+$44,844.00"
1700,1700,M,2022-05-25 16:03:50,2022-05-24,CMMB,Chemomab Therapeutics Ltd.,Maryles Joel Michael,Dir,Purchase,$2.88,+433.00,"1,433.00",43.3%,"+$1,247.08"
1834,1834,M,2022-05-24 16:30:37,2022-05-20,MITI,"Mitesco, Inc.",Diamond Lawrence M.,"Dir,Chief Executive Officer",Purchase,$0.18,"+30,000.00","8,343,257.00",0.36%,"+$5,507.00"
1922,1922,None,2022-05-23 16:17:11,2022-05-20,BV,"BrightView Holdings, Inc.",DONNELLY THOMAS C,"President, Landscape Dev.",Purchase,$11.75,"+5,000.00","333,489.00",1.52%,"+$58,750.00"
2246,2246,None,2022-05-19 16:02:33,2022-05-18,CMMB,Chemomab Therapeutics Ltd.,Cohen Neil Harris,Dir,Purchase,$3.19,"+2,000.00","12,409.00",19.21%,"+$6,380.00"
2490,2490,None,2022-05-17 14:35:07,2022-05-16,HRZN,Horizon Technology Finance Corp,SAVAGE JOSEPH J,Dir,Purchase,$12.23,"+10,000.00","50,000.00",25%,"+$122,300.00"
2311,2311,M,2022-05-18 20:19:56,2022-05-13,TWTR,"TWITTER, INC.",SAUD H R H PRINCE ALWALEED BIN TALAL BIN ABDULAZIZ AL,other,"Purchase,Sale",$3.46,0.00,"34,948,975.00",0%,"+$1,695,400.00"
2966,2966,None,2022-05-12 17:12:41,2022-05-12,HRZN,Horizon Technology Finance Corp,SAVAGE JOSEPH J,Dir,Purchase,$11.82,"+5,000.00","40,000.00",14.29%,"+$59,100.00"
3024,3024,None,2022-05-12 16:35:24,2022-05-11,MGNI,"MAGNITE, INC.",Lam Rachel,Dir,Purchase,$9.00,"+2,500.00","186,763.00",1.36%,"+$22,500.00"
3131,3131,None,2022-05-11 15:40:41,2022-05-10,HRZN,Horizon Technology Finance Corp,Trolio Daniel R.,CFO,Purchase,$12.00,+414.00,"1,532.00",37.03%,"+$4,968.00"
3130,3130,None,2022-05-11 13:14:32,2022-05-09,HRZN,Horizon Technology Finance Corp,Michaud Gerald A.,"Dir,PRESIDENT",Purchase,$12.06,"+3,050.00","122,384.00",2.56%,"+$36,783.00"
3328,3328,M,2022-05-09 15:40:14,2022-05-06,HRZN,Horizon Technology Finance Corp,Pomeroy Robert D. Jr.,"Dir,CHIEF EXECUTIVE OFFICER",Purchase,$12.69,"+5,000.00","163,213.00",3.16%,"+$63,474.00"
3351,3351,None,2022-05-09 08:45:14,2022-05-06,WRAP,"WRAP TECHNOLOGIES, INC.",Hickman Glenn M,CHIEF OPERATING OFFICER,Purchase,$2.48,"+11,070.00","96,570.00",12.95%,"+$27,471.31"
4914,4914,None,2022-03-23 21:05:44,2022-03-21,ANIP,ANI PHARMACEUTICALS INC,Lalwani Nikhil,"Dir,PRESIDENT & CEO",Purchase,$27.69,"+7,224.00","169,650.00",4.45%,"+$199,997.16"
4917,4917,None,2022-03-23 16:20:49,2022-03-21,KIRK,"KIRKLAND’S, INC",JOYCE ANN E,Dir,Purchase,$11.14,"+2,242.00","5,336.00",72.46%,"+$24,978.35"
4964,4964,None,2022-03-22 17:39:14,2022-03-21,ANIP,ANI PHARMACEUTICALS INC,Walsh Patrick D,Dir,Purchase,$27.76,"+5,000.00","53,388.00",10.33%,"+$138,794.00"
4963,4963,M,2022-03-22 17:37:55,2022-03-18,ANIP,ANI PHARMACEUTICALS INC,Gassert Chad,SVP – CORP. DEV. & STRATEGY,Purchase,$27.51,"+10,000.00","393,226.00",2.61%,"+$275,086.50"
5059,5059,M,2022-03-21 06:04:46,2022-03-18,CMMB,Chemomab Therapeutics Ltd.,Maryles Joel Michael,Dir,Purchase,$4.34,"+1,000.00","1,000.00",0%,"+$4,340.00"
5031,5031,M,2022-03-21 21:58:12,2022-03-17,ANIP,ANI PHARMACEUTICALS INC,Shanmugam Muthusamy,"Dir,HEAD OF R&D, COO-NOVITIUM OPS",Purchase,$27.65,"+10,000.00","1,356,080.00",0.74%,"+$276,503.00"
280,280,M,2022-06-21 06:01:38,2022-03-16,CMMB,Chemomab Therapeutics Ltd.,Marvin Donald,"Executive VP, CFO & COO",Purchase,$3.27,+500.00,"2,000.00",33.33%,"+$1,637.50"
5178,5178,None,2022-03-17 11:24:06,2022-03-16,DAKT,DAKTRONICS INC,Kurtenbach Reece A,"Dir,Chairman, President and CEO",Purchase,$4.02,"+10,000.00","422,043.00",2.43%,"+$40,200.00"
5058,5058,M,2022-03-21 06:02:52,2022-03-14,CMMB,Chemomab Therapeutics Ltd.,Marvin Donald,"Executive VP, CFO & COO",Purchase,$4.04,"+1,250.00","1,500.00",500%,"+$5,045.00"
5416,5416,M,2022-03-15 16:10:10,2022-03-14,CMMB,Chemomab Therapeutics Ltd.,Pfost Dale R,"Dir,Chief Executive Officer",Purchase,$3.98,"+2,500.00","2,500.00",0%,"+$9,943.00"
5428,5428,M,2022-03-15 16:07:42,2022-03-14,CMMB,Chemomab Therapeutics Ltd.,Cohen Neil Harris,Dir,Purchase,$4.35,"+6,000.00","10,409.00",136.09%,"+$26,120.00"
5529,5529,None,2022-03-14 16:20:11,2022-03-11,CMMB,Chemomab Therapeutics Ltd.,Darvish Nissim,Dir,Purchase,$4.28,"+1,200.00","1,200.00",0%,"+$5,136.00"
5819,5819,M,2022-03-08 20:09:56,2022-03-07,SWBI,"SMITH & WESSON BRANDS, INC.",McPherson Deana L,See Remarks,"Tax,Purchase",$15.81,"-1,698.00","59,869.00",-2.92%,"-$26,845.28"
5960,5960,None,2022-03-07 14:35:32,2022-03-07,CULP,CULP INC,DAVIS PERRY E,Dir,Purchase,$7.80,"+1,650.00","13,738.00",13.65%,"+$12,870.00"
5963,5963,None,2022-03-07 16:26:35,2022-03-03,MGNI,"MAGNITE, INC.",Lam Rachel,Dir,Purchase,$12.81,"+2,500.00","184,263.00",1.38%,"+$32,025.00"
